Subject,Session,Block,Condition,Trial,whetherCued,midStim,leftStim,rightStim,remCueLoc,fogCueLoc,neutralCueLoc,probeCueLoc,probeRem,probeForget,probeNeutral,Target,Estimate,RT,Error,Points
104,1,4,1,185,1,316.1959,45.1463,108.5116,1,2,3,2,0,1,0,45.1463,75.9832,11.3273,30.837,0,
104,1,4,1,186,1,18.8133,199.0351,258.1648,3,1,2,3,1,0,0,258.1648,212.429,2.8019,-45.7358,-5,
104,1,4,2,187,1,169.2032,77.3441,227.7261,3,2,1,1,0,0,1,169.2032,150.906,1.471,-18.2972,20,
104,1,4,2,188,1,257.3923,196.6026,18.0079,2,1,3,2,1,0,0,196.6026,230.2111,2.3015,33.6086,0,
104,1,4,2,189,1,106.5352,165.3053,256.0974,2,3,1,3,0,1,0,256.0974,NaN,100000,999,0,
104,1,4,2,190,1,196.8422,135.039,78.0135,2,1,3,3,0,0,1,78.0135,63.7519,2.2517,-14.2616,20,
104,1,4,1,191,1,345.6151,137.8998,46.6427,3,1,2,3,1,0,0,46.6427,149.9153,2.3216,103.2726,-20,
104,1,4,2,192,1,167.1523,137.0811,228.6438,1,2,3,1,1,0,0,167.1523,165.2117,2.5117,-1.9405,40,
104,1,4,2,193,1,256.0788,225.3937,169.6653,2,1,3,2,1,0,0,225.3937,234.9478,2.9018,9.5541,30,
104,1,4,2,194,1,289.6498,197.6467,138.1324,2,1,3,2,1,0,0,197.6467,238.2778,2.1218,40.6311,-5,
104,1,4,2,195,1,79.4841,138.3806,289.142,2,1,3,1,0,1,0,79.4841,NaN,100000,999,0,
104,1,4,1,196,1,319.1351,136.2949,15.2294,1,2,3,1,1,0,0,319.1351,306.7138,2.1915,-12.4213,20,
104,1,4,1,197,1,139.9171,229.4815,19.3285,2,1,3,2,1,0,0,229.4815,220.1443,3.3422,-9.3372,30,
104,1,4,2,198,1,258.155,106.5819,349.7956,1,2,3,2,0,1,0,106.5819,NaN,100000,999,0,
104,1,4,2,199,1,75.3035,286.9491,316.4998,3,2,1,3,1,0,0,316.4998,305.0893,3.122,-11.4105,30,
104,1,4,2,200,1,258.3617,289.2806,197.4922,3,2,1,3,1,0,0,197.4922,301.0238,3.6527,103.5316,-20,
104,1,4,1,201,1,16.716,137.313,46.8391,3,1,2,3,1,0,0,46.8391,55.169,1.7211,8.3299,30,
104,1,4,1,202,1,198.7829,139.2164,228.8508,2,3,1,2,1,0,0,139.2164,159.9316,2.2415,20.7152,20,
104,1,4,2,203,1,165.3821,47.0542,285.715,2,1,3,2,1,0,0,47.0542,48.5548,2.1218,1.5006,40,
104,1,4,2,204,1,78.917,258.1196,289.1271,1,2,3,2,0,1,0,258.1196,NaN,100000,999,0,
104,1,4,1,205,1,226.6904,18.3556,255.2618,2,3,1,2,1,0,0,18.3556,35.9318,2.1014,17.5762,20,
104,1,4,2,206,1,258.7676,169.18,106.2686,3,2,1,1,0,0,1,258.7676,223.0493,2.1415,-35.7183,0,
104,1,4,2,207,1,167.6639,286.7733,78.8656,2,3,1,3,0,1,0,78.8656,NaN,100000,999,0,
104,1,4,2,208,1,349.6472,169.6249,226.7915,2,1,3,2,1,0,0,169.6249,160.4691,2.2415,-9.1558,30,
104,1,4,2,209,1,347.6184,168.2517,256.9257,1,3,2,1,1,0,0,347.6184,333.2334,1.6912,-14.385,20,
